Source,Target,Label
139,169,85097049656
150,148,85124875159
150,139,85124875159
150,151,85124875159
148,139,85124875159
148,151,85124875159
139,151,85124875159
158,170,85067669968
158,171,85067669968
158,172,85067669968
158,139,85067669968
170,171,85067669968
170,172,85067669968
170,139,85067669968
171,172,85067669968
171,139,85067669968
172,139,85067669968
173,139,85079744231
173,169,85079744231
139,169,85079744231
174,175,85043585807
174,176,85043585807
174,177,85043585807
174,139,85043585807
174,142,85043585807
175,176,85043585807
175,177,85043585807
175,139,85043585807
175,142,85043585807
176,177,85043585807
176,139,85043585807
176,142,85043585807
177,139,85043585807
177,142,85043585807
139,142,85043585807
158,178,84893824397
158,179,84893824397
158,147,84893824397
158,139,84893824397
158,171,84893824397
158,170,84893824397
178,179,84893824397
178,147,84893824397
178,139,84893824397
178,171,84893824397
178,170,84893824397
179,147,84893824397
179,139,84893824397
179,171,84893824397
179,170,84893824397
147,139,84893824397
147,171,84893824397
147,170,84893824397
139,171,84893824397
139,170,84893824397
171,170,84893824397
139,180,84878189239
139,181,84878189239
139,182,84878189239
139,183,84878189239
139,184,84878189239
180,181,84878189239
180,182,84878189239
180,183,84878189239
180,184,84878189239
181,182,84878189239
181,183,84878189239
181,184,84878189239
182,183,84878189239
182,184,84878189239
183,184,84878189239
185,181,67649886835
185,182,67649886835
185,139,67649886835
185,186,67649886835
185,187,67649886835
185,184,67649886835
181,182,67649886835
181,139,67649886835
181,186,67649886835
181,187,67649886835
181,184,67649886835
182,139,67649886835
182,186,67649886835
182,187,67649886835
182,184,67649886835
139,186,67649886835
139,187,67649886835
139,184,67649886835
186,187,67649886835
186,184,67649886835
187,184,67649886835
188,189,85183344144
188,190,85183344144
188,191,85183344144
188,192,85183344144
188,193,85183344144
188,194,85183344144
188,195,85183344144
189,190,85183344144
189,191,85183344144
189,192,85183344144
189,193,85183344144
189,194,85183344144
189,195,85183344144
190,191,85183344144
190,192,85183344144
190,193,85183344144
190,194,85183344144
190,195,85183344144
191,192,85183344144
191,193,85183344144
191,194,85183344144
191,195,85183344144
192,193,85183344144
192,194,85183344144
192,195,85183344144
193,194,85183344144
193,195,85183344144
194,195,85183344144
196,197,85166241171
196,198,85166241171
196,193,85166241171
197,198,85166241171
197,193,85166241171
198,193,85166241171
199,200,85163635156
199,193,85163635156
199,198,85163635156
200,193,85163635156
200,198,85163635156
193,198,85163635156
201,202,85152206403
201,203,85152206403
201,204,85152206403
201,205,85152206403
201,206,85152206403
201,193,85152206403
202,203,85152206403
202,204,85152206403
202,205,85152206403
202,206,85152206403
202,193,85152206403
203,204,85152206403
203,205,85152206403
203,206,85152206403
203,193,85152206403
204,205,85152206403
204,206,85152206403
204,193,85152206403
205,206,85152206403
205,193,85152206403
206,193,85152206403
207,208,85138695494
